Position,Name,Fanduel,Owned 50/50,Owned GPP,Owned Combined,DFSReport Ownership,DFSReport Projected,DFSReport+Owned,Formula 7,Formula 8,Formula 5,Formula 6,Formula 9,FFA Points,FFA Ceiling,FFA Floor,FFA Points/Ceiling Avg,FFA Points/Floor Avg,FFA Ceiling/Floor Avg,FantasyPros,FantasyLabs,Fantasy Labs Ceiling,Fantasy Labs Floor,Fantasy Labs 2,FantasyLabs3,FantasyLabs4,Fantasy Labs 5,Rotogrinders,Counting
WR,Danny Amendola,8.27,0,0,0,,,0,-28.5,134.25845,58.3779,8.4886,37.2776,75.7038,99.9953,29.114,87.84955,52.4089,64.5547,2.4,2.8,4.1,1.5,12.7,0.51,2.19,1.12,5.91,0
WR,Brandon LaFell,6.45,0,0,0,,,0,48.15,182.75665,67.1851,10.288,44.8139,85.4801,102.4931,67.76,93.9866,76.6201,85.1266,4.6,5.4,7.9,2.9,-5.96,0.21,-7.38,-1.57,7.82,0
WR,Laquon Treadwell,0,0,0,0,,,0,-7.15,221.243,83.2679,12.5642,54.9683,108.8239,142.1682,69.97,125.49605,89.397,106.0691,4.4,,,,,,0,0,5.56,0
WR,Vincent Jackson,9.08,0,2,2,,,2,-51.85,276.75435,111.5343,17.3077,69.2484,139.7624,161.2839,117.4,150.52315,128.5812,139.342,7.1,10.2,14.3,6.1,-3.72,0.93,-33.1,-30.78,10.38,0
WR,Anquan Boldin,9.67,0,1,1,,,1,1.65,176.9616,82.1808,10.9676,50.6568,104.2744,117.5674,24.507,110.9209,64.3907,71.0372,4.4,6.3,8.9,3.7,6.17,2.49,12.81,31.89,8.67,0
WR,Mohamed Sanu,4.69,0,1,1,,,1,4.65,255.33695,98.4599,14.9546,62.9895,124.2465,141.2944,102.5865,132.77045,113.4165,121.9405,6.2,8.8,12.1,5.5,-4.07,0.38,-23.83,-9,9.65,0
WR,Andrew Hawkins,5.14,0,0,0,,,0,-5.9,123.0846,48.8015,7.441,32.6002,62.4186,70.9118,53.2202,66.6652,57.8194,62.066,2.9,3.6,5.3,1.9,6.65,0.15,2.41,0.36,3.43,0
WR,Travis Benjamin,10.24,0,1,1,,,1,-28.35,250.1982,102.9646,15.6238,79.9661,130.4861,150.991,100.1332,140.73855,115.3097,125.5621,5.8,8.7,12.6,4.8,22.48,0.87,118.29,103.4,8.2,0
WR,Torrey Smith,6.8,0,0,0,,,0,-9.45,287.02315,116.0166,17.1105,74.8064,148.0554,154.2976,124.5379,151.1765,136.2967,139.4178,7.2,9.1,12.9,5.3,-2.18,0.03,-13.59,-0.42,9.92,0
WR,Sterling Shepard,0,0,1,1,,,1,-4.35,283.44785,111.7923,16.7213,80.4194,141.3397,160.6777,114.2386,151.0087,127.7892,137.4582,6.9,9.8,13.4,6.2,1.02,8.29,8.28,68.61,10.25,0
